AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Neelima Karan,54,1,A1
1002,2,Victor Dutt,25,1,A1002
1003,2,Hitesh Tara,37,1,A1003
2,3,Chanchal Cherian,53,1,A2
1008,4,Laksh Tella,38,1,A1008
3,5,Chanakya Doctor,39,1,A3
4,5,Viraj Balasubramanian,62,1,A4
5,5,Harini Ahuja,33,1,A5
6,6,Finn Mitter,52,1,A6
7,7,Gaurav Tiwari,64,1,A7
8,7,Qadim Padmanabhan,59,1,A8
9,8,Amaira Madan,44,2,A9
10,9,Yatan Modi,28,1,A10
11,10,Aarush Sibal,34,1,A11
12,10,Ayushman Nagarajan,61,1,A12
13,10,Gaurika Dhawan,65,1,A13
14,11,Jasmit Karpe,35,1,A14
15,11,Gauri Balan,60,1,A15
16,11,Aadhya Gupta,28,1,A16
17,12,Nicholas Nair,21,2,A17
18,12,Gaurika Ahluwalia,40,1,A18
19,13,Ronith Raval,49,1,A19
20,14,Bahadurjit Dua,21,1,A20
21,15,Tarak Garde,61,1,A21
22,16,Oeshi Issac,41,1,A22
23,17,Avi Dutt,28,1,A23
24,18,Ayaan Sankar,18,1,A24
25,18,Indali Chatterjee,27,1,A25
1006,19,Mekhala Nayar,41,1,A1006
26,19,Tejas Khanna,34,1,A26
1005,19,Darpan Chaudhari,26,2,A1005
1001,20,Farhan Memon,48,2,A1001
27,21,Wyatt Bains,58,1,A27
28,21,Ekantika Menon,51,1,A28
1007,22,Max Nadig,18,1,A1007
29,23,Tanmayi Tiwari,37,2,A29
30,23,Dakshesh Puri,45,1,A30
1002,24,Victor Dutt,44,1,A1002
31,24,Arya Boase,58,1,A31
32,25,Gavin Wadhwa,21,1,A32
33,25,David Badal,61,1,A33
34,26,Megha Pathak,29,1,A34
35,26,Nathan Lala,55,1,A35
36,26,Tanish Rana,28,1,A36
37,27,Arya Wadhwa,38,1,A37
38,27,William Parekh,47,1,A38
39,28,Naveen Devi,37,1,A39
40,28,Hemangini Sunder,30,1,A40
41,29,Aarav Chowdhury,43,1,A41
42,30,Sneha Sur,24,1,A42
43,30,Samesh Basu,34,1,A43
44,31,Ojas Choudhary,40,1,A44
45,32,Hiral Swamy,59,1,A45
46,33,Yatan Vaidya,38,1,A46
47,33,Girik Bhatia,30,1,A47
48,34,Hemangini Atwal,39,2,A48
49,34,Advika Batra,49,2,A49
50,35,Nimrat Khare,56,1,A50
51,36,Ikshita Dar,42,1,A51
1001,37,Farhan Memon,32,1,A1001
1001,38,Farhan Memon,24,1,A1001
52,38,Yamini Andra,31,1,A52
1001,39,Farhan Memon,18,1,A1001
1002,40,Victor Dutt,42,1,A1002
1002,41,Victor Dutt,43,1,A1002
53,42,Joshua Sahni,18,1,A53
1001,42,Farhan Memon,53,1,A1001
54,42,Janani Malhotra,35,1,A54
55,43,Falguni Deol,51,1,A55
1004,43,Harrison Mukherjee,37,1,A1004
56,44,Harita Thakur,60,2,A56
