AccusedMasterID,CaseMasterID,AccusedName,AgeYear
1,1,Neelima Karan,54
1002,2,Victor Dutt,25
1003,2,Hitesh Tara,37
2,3,Chanchal Cherian,53
1008,4,Laksh Tella,38
3,5,Chanakya Doctor,39
4,5,Viraj Balasubramanian,62
5,5,Harini Ahuja,33
6,6,Finn Mitter,52
7,7,Gaurav Tiwari,64
8,7,Qadim Padmanabhan,59
9,8,Amaira Madan,44
10,9,Yatan Modi,28
11,10,Aarush Sibal,34
12,10,Ayushman Nagarajan,61
13,10,Gaurika Dhawan,65
14,11,Jasmit Karpe,35
15,11,Gauri Balan,60
16,11,Aadhya Gupta,28
17,12,Nicholas Nair,21
18,12,Gaurika Ahluwalia,40
19,13,Ronith Raval,49
20,14,Bahadurjit Dua,21
21,15,Tarak Garde,61
22,16,Oeshi Issac,41
23,17,Avi Dutt,28
24,18,Ayaan Sankar,18
25,18,Indali Chatterjee,27
1006,19,Mekhala Nayar,41
26,19,Tejas Khanna,34
1005,19,Darpan Chaudhari,26
1001,20,Farhan Memon,48
27,21,Wyatt Bains,58
28,21,Ekantika Menon,51
1007,22,Max Nadig,18
29,23,Tanmayi Tiwari,37
30,23,Dakshesh Puri,45
1002,24,Victor Dutt,44
31,24,Arya Boase,58
32,25,Gavin Wadhwa,21
33,25,David Badal,61
34,26,Megha Pathak,29
35,26,Nathan Lala,55
36,26,Tanish Rana,28
37,27,Arya Wadhwa,38
38,27,William Parekh,47
39,28,Naveen Devi,37
40,28,Hemangini Sunder,30
41,29,Aarav Chowdhury,43
42,30,Sneha Sur,24
43,30,Samesh Basu,34
44,31,Ojas Choudhary,40
45,32,Hiral Swamy,59
46,33,Yatan Vaidya,38
47,33,Girik Bhatia,30
48,34,Hemangini Atwal,39
49,34,Advika Batra,49
50,35,Nimrat Khare,56
51,36,Ikshita Dar,42
1001,37,Farhan Memon,32
1001,38,Farhan Memon,24
52,38,Yamini Andra,31
1001,39,Farhan Memon,18
1002,40,Victor Dutt,42
1002,41,Victor Dutt,43
53,42,Joshua Sahni,18
1001,42,Farhan Memon,53
54,42,Janani Malhotra,35
55,43,Falguni Deol,51
1004,43,Harrison Mukherjee,37
56,44,Harita Thakur,60
57,44,Dayita Grewal,56
58,45,Tristan Narayan,64
1002,46,Victor Dutt,56
1006,46,Mekhala Nayar,43
59,46,Ubika Nagarajan,61
60,47,Gaurangi Deshpande,39
61,47,Peter Srivastava,51
62,48,Jack Kumer,48
1010,48,Turvi Dalal,45
63,49,Anay Parsa,63
64,49,Udyati Subramanian,53
65,50,Aarush Dash,35
1002,50,Victor Dutt,48
66,51,Jagat Dutta,26
67,52,Gautami Pant,20
68,52,Niharika Chana,35
69,53,Bhavika Gola,22
70,54,Ria Krish,23
71,54,Yatin Nadig,37
72,54,Anvi Chokshi,62
73,55,Gauri Toor,52
74,55,Radhika Sarma,55
75,55,Riya Sule,20
76,56,Vanya Halder,62
77,57,Alexander Pandey,28
78,57,Kashvi Kale,27
79,57,Hritik Dara,64
80,58,Avi Merchant,35
81,59,Aditya Deol,40
82,59,Ansh Rastogi,19
83,59,Hitesh Muni,26
84,60,Wridesh Hayer,18
85,61,Faras Walla,28
86,62,Ria Chad,40
87,63,Chatura Bansal,38
88,64,Bachittar Vig,19
89,65,Ishani Chaudhry,40
90,65,Neelima Gopal,60
1006,66,Mekhala Nayar,51
91,66,Andrew Bakshi,37
92,66,Isaac Atwal,19
93,67,Ekavir Narayan,50
94,67,Ishwar Mandal,54
1002,68,Victor Dutt,26
95,68,Eta Kara,61
1010,69,Turvi Dalal,46
96,69,Divya Bhatti,41
97,70,Raagini Nagarajan,24
98,70,Nitesh Mittal,42
99,70,Aishani Ramakrishnan,29
100,71,Robert Balakrishnan,55
101,71,Ronith Rege,52
102,72,Bhavna Ramanathan,24
103,72,Arin Shah,32
104,72,Bhavya Basak,61
105,73,Bina Hora,60
106,73,Ekapad Krishna,35
107,74,Luke Borra,37
108,74,Neelima Pandit,49
1005,74,Darpan Chaudhari,35
109,75,Henry Keer,44
110,76,Damyanti Barad,39
111,76,Hemal Deep,55
112,77,Siddharth Prabhu,28
113,78,Akshay Joshi,55
114,78,Aarush Thaker,50
115,78,Fariq Date,29
116,79,Tanish Rout,39
117,80,Dayamai Prabhu,61
118,80,Geetika Tripathi,30
119,80,Udant Swamy,25
120,81,Mugdha Vaidya,27
121,81,Hamsini Divan,25
122,82,Mitesh Datta,56
123,82,Watika Dugar,36
1002,82,Victor Dutt,59
124,83,Ishita Kala,64
125,83,Vedant Tank,31
1001,83,Farhan Memon,42
126,84,Gaurav Jaggi,33
127,84,Harshil Varghese,51
128,85,Wahab Kunda,27
129,86,Frederick Dada,31
130,86,Samesh Ben,25
1002,86,Victor Dutt,64
1002,87,Victor Dutt,26
131,87,Vamakshi Shan,47
132,87,Harrison Krish,38
133,88,Kashish Chaudhuri,31
1010,88,Turvi Dalal,62
1007,88,Max Nadig,62
134,89,Amaira Zachariah,63
135,89,Baghyawati Rao,63
1010,89,Turvi Dalal,64
136,90,Oviya Bansal,19
137,90,Mahika Dhingra,22
138,91,Gavin Batra,47
139,92,Jeremiah Bhatt,52
140,92,Eshana Gandhi,27
141,92,Yauvani Pathak,18
142,93,Urvi Radhakrishnan,26
143,94,Xavier Yadav,24
1007,95,Max Nadig,32
144,96,Ishita Kanda,59
1009,96,Unni Batta,56
1007,97,Max Nadig,62
1007,97,Max Nadig,56
145,98,Zansi Shetty,32
146,99,Lavanya Dutta,61
1002,99,Victor Dutt,40
147,99,Faraj Bains,24
1009,100,Unni Batta,42
148,101,Mekhala Sha,27
149,101,Zayan Kalita,61
1003,102,Hitesh Tara,63
150,102,Widisha Barman,38
151,102,Zayyan Barad,41
152,103,Saksham Brahmbhatt,40
153,104,Falak Bala,29
154,104,Azad Kulkarni,50
155,104,Bakhshi Madan,48
156,105,Bhavika Murthy,32
157,105,Darika Bala,63
158,105,Bhavini Sankaran,24
159,106,Faris Gole,53
1001,106,Farhan Memon,28
160,107,Jagat Rai,28
1008,107,Laksh Tella,45
161,107,Baljiwan Grewal,60
162,108,Omya Desai,37
1006,108,Mekhala Nayar,18
163,108,Gaurang Rastogi,54
164,109,Tanveer Deol,62
165,109,Sanya Kumer,30
1003,110,Hitesh Tara,21
166,110,Raghav Kibe,49
167,111,Ijaya Sarma,23
168,112,Harish Chacko,55
169,113,Jalsa Bora,36
170,114,Gayathri Mani,36
171,114,Vihaan Shan,21
172,114,Onkar Dugar,28
1006,115,Mekhala Nayar,22
173,116,Patrick Shanker,32
174,117,Finn Bawa,53
175,117,Udant Balakrishnan,25
176,118,Devika Minhas,59
177,119,Isha Narain,22
178,119,Amrita Menon,29
179,119,Hritik Dube,45
180,120,Kabir Gara,38
181,121,Aadhya Basak,40
1004,121,Harrison Mukherjee,25
182,121,Riya Halder,36
183,122,Diya Dey,30
184,122,Yatan Chakraborty,59
185,122,Bishakha Gokhale,35
186,123,Sai Korpal,26
187,123,Akshay Bobal,56
188,124,Bishakha Apte,61
189,124,Yashoda Vasa,51
190,125,Chakradhar Dey,40
1008,125,Laksh Tella,65
191,125,Hamsini Aurora,61
192,126,Raagini Karpe,34
193,126,Yagnesh Varughese,52
194,126,Karan Basak,23
195,127,Saksham Banik,38
196,128,Yutika Sura,37
1009,128,Unni Batta,27
197,129,Falan Dyal,28
198,129,Hemang Purohit,24
199,129,Ansh Bahri,57
200,130,Faris Kapur,33
201,130,Pahal Subramanian,59
202,130,Lajita Kadakia,32
1007,131,Max Nadig,63
203,132,Chaitaly Sidhu,44
204,133,Omisha Sankar,28
205,133,Laban Krish,63
206,134,Luke Kaur,29
207,134,Warinder Chakrabarti,31
208,134,Devika Chaudhry,62
209,135,Tristan Bahl,46
210,135,Reva Aggarwal,27
211,135,Qasim Kothari,34
212,136,Gavin Parmer,62
213,136,Qushi Arora,21
214,136,Theodore Dixit,51
215,137,Urvashi Raj,46
216,137,Jasmit Varghese,19
217,137,Abha Sodhi,44
218,138,Nakul Ravi,50
219,138,Azad Sehgal,23
220,138,Gautami Khosla,34
221,139,Arunima Iyer,63
222,139,Jeevika Dave,25
1009,139,Unni Batta,38
223,140,Darika Wason,62
1005,141,Darpan Chaudhari,21
224,142,Balvan Garg,24
225,142,Oviya Bhardwaj,50
226,142,Abhimanyu Dey,27
227,143,Kiaan Bhakta,54
228,144,Henry Sinha,57
229,144,Harrison Sharaf,28
230,145,Ucchal Bath,45
231,145,Indira Mody,35
232,146,Bachittar Rana,35
233,147,Ekapad Oza,47
234,147,Ayaan Sandhu,40
235,147,Yashawini Vora,19
236,148,Umang Saha,19
237,148,Upkaar Subramaniam,47
238,148,Mohammed Nath,35
1001,149,Farhan Memon,29
239,149,Wishi Datta,57
240,150,Parth Dewan,41
241,151,Gopal Deo,28
242,151,Varenya Saha,56
1002,152,Victor Dutt,19
243,152,Kashish Tella,18
244,152,Vinaya Bhakta,18
245,153,Damini Chanda,19
246,153,Owen Deep,42
247,153,Jagvi Sha,35
248,154,Theodore Cherian,49
249,154,Frado Pal,63
250,155,Hemal Prakash,18
251,155,Suhani Sampath,34
252,156,Bachittar Sinha,26
253,156,Januja Hans,36
254,157,Vihaan Chaudhuri,18
255,157,Abdul Nayak,51
256,157,Ryan Kaul,49
257,158,Hiral Gopal,37
258,158,Ishwar Sachdeva,49
1003,159,Hitesh Tara,61
259,159,Advay Ramanathan,29
260,160,Ijaya Ganesan,35
261,161,Wridesh Dar,62
262,161,Vivaan Divan,49
263,162,Amaira Date,41
264,163,Veer Suresh,21
1009,163,Unni Batta,22
265,164,Balendra Anand,63
266,164,Rayaan Sehgal,57
267,165,Zinal Sheth,60
268,165,Jonathan Badal,27
269,165,Harita Patla,47
270,166,Yashawini Kar,45
271,166,Chatura Kapur,48
272,166,Qushi Seshadri,60
273,167,Unnati Nagarajan,63
274,168,Wyatt Sahni,29
275,168,Laksh Merchant,58
276,168,Urmi Khosla,30
1005,169,Darpan Chaudhari,45
1009,169,Unni Batta,64
277,169,Gopal Tara,64
1001,170,Farhan Memon,55
